 ,File Name,Patch_Intensity0,Patch_Intensity1,Patch_Intensity2,Patch_Intensity3,Patch_Intensity4,Patch_Intensity5,Patch_Intensity6,Patch_Intensity7,Patch_Intensity8,Patch_Intensity9,Patch_Intensity10,Patch_Intensity11,Patch_Intensity12,Patch_Intensity13,Patch_Intensity14,Patch_Intensity15,Patch_Intensity16,Patch_Intensity17,Patch_Intensity18,Patch_Intensity19,Patch_Intensity20,Patch_Intensity21,Patch_Intensity22,Patch_Intensity23,Patch_Intensity24,Patch_Intensity25,Patch_Intensity26,Patch_Intensity27,Patch_Intensity28,Patch_Intensity29,Patch_Intensity30,Patch_Intensity31,Patch_Intensity32,Patch_Intensity33,Patch_Intensity34,Patch_Intensity35,Patch_Intensity36,Patch_Intensity37,Patch_Intensity38,Patch_Intensity39,Patch_Intensity40,Patch_Intensity41,Patch_Intensity42,Patch_Intensity43
1,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000001_Left_SimpleSeg.tif,66.679,66.916,70.801,67.072,68.744,69.812,68.267,67.173,72.216,67.517,68.418,70.511,68.112,72.788,73.372,68.605,68.836,69.919,70.423,69.778,69.211,65.464,66.934,68.493,73.488,66.924,63.369,62.883,63.809,66.157,61.138,60.805,64.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000001_Right_SimpleSeg.tif,68.503,65.303,66.661,67.708,63.429,77.471,75.436,72.061,65.832,76.251,71.043,72.425,66.000,70.705,73.460,68.375,66.247,65.842,68.056,64.152,65.330,70.049,66.577,67.662,71.858,72.339,69.657,69.285,77.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000005_Left_SimpleSeg.tif,76.000,78.054,72.457,71.953,74.574,70.566,71.108,73.796,77.098,76.307,82.264,83.168,84.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000005_Right_SimpleSeg.tif,79.634,74.238,74.548,73.554,71.326,71.981,67.940,69.891,68.442,70.494,66.049,69.082,67.895,69.773,71.624,69.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000006_Left_SimpleSeg.tif,74.652,65.680,64.614,64.147,71.503,65.680,67.179,73.488,67.854,69.137,76.769,71.863,71.561,72.250,69.093,74.851,71.761,72.583,78.046,71.202,71.556,75.616,68.723,77.019,75.427,72.965,71.889,71.933,73.430,71.889,79.119,74.590,78.255,74.277,76.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000006_Right_SimpleSeg.tif,53.805,50.980,49.207,47.195,50.618,49.000,56.585,46.435,50.732,45.491,48.672,46.305,57.443,48.674,46.714,47.353,53.373,46.823,47.333,59.422,47.443,60.175,53.084,51.231,51.518,49.531,50.838,54.734,49.937,50.332,50.650,51.119,53.575,51.696,54.162,51.438,53.669,54.419,0.000,0.000,0.000,0.000,0.000,0.000
7,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000013_Left_SimpleSeg.tif,99.276,85.126,92.349,100.285,79.994,82.681,92.931,77.124,86.689,92.177,88.828,94.098,101.424,84.691,91.271,92.263,88.866,93.467,95.779,96.189,101.278,100.923,95.743,96.106,95.252,103.203,96.167,104.581,104.645,72.964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000013_Right_SimpleSeg.tif,82.129,88.375,88.782,88.521,77.701,87.911,73.520,85.595,92.960,100.453,90.996,104.833,102.526,92.026,101.477,94.776,100.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000018_Left_SimpleSeg.tif,50.035,49.238,56.101,49.489,51.124,50.829,50.659,51.633,49.796,50.096,50.948,60.033,54.655,56.915,53.265,59.377,54.006,57.272,61.102,54.315,61.353,52.926,49.154,50.338,66.292,55.129,68.247,62.073,61.200,60.324,57.570,69.341,58.615,59.628,74.155,70.265,70.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000018_Right_SimpleSeg.tif,52.460,55.106,52.360,55.613,61.878,52.087,51.991,54.094,52.593,53.885,55.234,57.772,62.155,63.465,66.019,73.045,68.072,71.597,69.416,66.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
