 ,Patch1 N°,Patch2 N°,Distances
1,0,1,40.435
2,0,2,70.310
3,0,3,78.268
4,0,4,54.446
5,0,5,43.023
6,0,6,94.710
7,0,7,54.896
8,0,8,60.421
9,0,9,89.708
10,0,10,30.799
11,0,11,53.677
12,0,12,44.892
13,0,13,77.516
14,0,14,92.889
15,0,15,114.827
16,0,16,132.714
17,0,17,155.995
18,0,18,141.033
19,0,19,136.306
20,0,20,171.051
21,0,21,178.484
22,0,22,201.786
23,0,23,212.827
24,0,24,221.656
25,0,25,312.422
26,0,26,242.375
27,0,27,299.764
28,0,28,310.527
29,0,29,330.764
30,0,30,330.569
31,0,31,364.264
32,0,32,372.833
33,1,2,34.630
34,1,3,101.977
35,1,4,73.164
36,1,5,21.901
37,1,6,123.241
38,1,7,90.627
39,1,8,49.162
40,1,9,122.212
41,1,10,46.485
42,1,11,64.496
43,1,12,85.236
44,1,13,84.761
45,1,14,108.615
46,1,15,153.368
47,1,16,173.071
48,1,17,196.362
49,1,18,158.681
50,1,19,157.733
51,1,20,194.872
52,1,21,212.208
53,1,22,239.934
54,1,23,241.040
55,1,24,245.769
56,1,25,339.508
57,1,26,277.219
58,1,27,331.829
59,1,28,345.295
60,1,29,367.620
61,1,30,362.904
62,1,31,395.381
63,1,32,399.371
64,2,3,136.568
65,2,4,107.664
66,2,5,29.363
67,2,6,157.830
68,2,7,123.741
69,2,8,40.576
70,2,9,156.370
71,2,10,61.755
72,2,11,69.287
73,2,12,114.431
74,2,13,81.696
75,2,14,109.325
76,2,15,174.974
77,2,16,199.341
78,2,17,222.529
79,2,18,157.347
80,2,19,159.907
81,2,20,197.881
82,2,21,225.610
83,2,22,259.552
84,2,23,247.460
85,2,24,247.811
86,2,25,343.370
87,2,26,291.195
88,2,27,341.583
89,2,28,358.575
90,2,29,384.015
91,2,30,372.756
92,2,31,403.474
93,2,32,402.136
94,3,4,29.146
95,3,5,116.120
96,3,6,24.513
97,3,7,40.096
98,3,8,138.024
99,3,9,33.639
100,3,10,108.325
101,3,11,130.026
102,3,12,68.072
103,3,13,153.314
104,3,14,162.651
105,3,15,134.151
106,3,16,128.237
107,3,17,147.518
108,3,18,205.127
109,3,19,196.248
110,3,20,224.895
111,3,21,209.584
112,3,22,212.005
113,3,23,255.828
114,3,24,272.171
115,3,25,353.803
116,3,26,265.108
117,3,27,329.065
118,3,28,330.533
119,3,29,341.300
120,3,30,358.054
121,3,31,394.367
122,3,32,413.896
123,4,5,88.496
124,4,6,52.318
125,4,7,40.572
126,4,8,111.909
127,4,9,56.246
128,4,10,85.245
129,4,11,108.015
130,4,12,60.838
131,4,13,131.807
132,4,14,144.897
133,4,15,135.819
134,4,16,138.286
135,4,17,159.678
136,4,18,190.645
137,4,19,183.624
138,4,20,215.301
139,4,21,208.957
140,4,22,219.092
141,4,23,251.111
142,4,24,264.437
143,4,25,350.422
144,4,26,268.354
145,4,27,330.351
146,4,28,335.323
147,4,29,349.569
148,4,30,360.205
149,4,31,395.687
150,4,32,410.895
151,5,6,135.357
152,5,7,97.770
153,5,8,27.307
154,5,9,131.939
155,5,10,33.109
156,5,11,45.687
157,5,12,85.846
158,5,13,63.945
159,5,14,89.168
160,5,15,145.943
161,5,16,169.992
