Strain,FileName,EyeSide,LikertScale0to5
Mutant 1,PEV000001,Left,2
Mutant 1,,Right,4
Mutant 1,PEV000005,Left,1
Mutant 1,,Right,2
Mutant 1,PEV000006,Left,3
Mutant 1,,Right,5
Mutant 1,PEV000013,Left,3
Mutant 1,,Right,3
Mutant 1,PEV000018,Left,3
Mutant 1,,Right,3
Mutant 1,PEV000039,Left,4
Mutant 1,,Right,5
Mutant 1,PEV000043,Left,2
Mutant 1,,Right,4
Mutant 1,PEV000044,Left,2
Mutant 1,,Right,4
Mutant 1,PEV000045,Left,2
Mutant 1,,Right,3
Mutant 1,PEV000046,Left,2
Mutant 1,,Right,3
Mutant 2,PEV000003,Left,1
Mutant 2,,Right,2
Mutant 2,PEV000007,Left,1
Mutant 2,,Right,1
Mutant 2,PEV000012,Left,1
Mutant 2,,Right,1
Mutant 2,PEV000019,Left,0
Mutant 2,,Right,1
Mutant 2,PEV000023,Left,1
Mutant 2,,Right,1
Mutant 2,PEV000025,Left,1
Mutant 2,,Right,1
Mutant 2,PEV000032,Left,1
Mutant 2,,Right,0
Mutant 2,PEV000033,Left,3
Mutant 2,,Right,1
Mutant 2,PEV000041,Left,0
Mutant 2,,Right,1
Mutant 2,PEV000042,Left,0
Mutant 2,,Right,1
