 ,File Name,Patch_Area0,Patch_Area1,Patch_Area2,Patch_Area3,Patch_Area4,Patch_Area5,Patch_Area6,Patch_Area7,Patch_Area8,Patch_Area9,Patch_Area10,Patch_Area11,Patch_Area12,Patch_Area13,Patch_Area14,Patch_Area15,Patch_Area16,Patch_Area17,Patch_Area18,Patch_Area19,Patch_Area20,Patch_Area21,Patch_Area22,Patch_Area23,Patch_Area24,Patch_Area25,Patch_Area26,Patch_Area27,Patch_Area28,Patch_Area29,Patch_Area30,Patch_Area31,Patch_Area32,Patch_Area33,Patch_Area34,Patch_Area35,Patch_Area36,Patch_Area37,Patch_Area38,Patch_Area39,Patch_Area40,Patch_Area41,Patch_Area42,Patch_Area43
1,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000001_Left_SimpleSeg.tif,962,286,146,318,121,176,75,411,171,143,55,139,80,85,218,162,159,123,163,180,574,56,226,276,127,3178,539,60,157,464,509,452,279,0,0,0,0,0,0,0,0,0,0,0
2,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000001_Right_SimpleSeg.tif,316,294,664,96,940,51,101,66,571,199,185,391,406,1219,163,80,304,745,143,929,528,588,142,77,106,127,597,757,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000005_Left_SimpleSeg.tif,83,111,481,279,54,544,1001,651,153,153,121,107,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000005_Right_SimpleSeg.tif,612,273,334,424,193,53,483,64,249,81,912,293,171,639,242,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000006_Left_SimpleSeg.tif,164,737,891,604,501,672,106,377,130,256,295,131,114,60,925,175,393,72,130,282,63,557,1536,161,96,868,494,149,93,999,101,105,522,537,386,0,0,0,0,0,0,0,0,0
6,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000006_Right_SimpleSeg.tif,251,245,116,1382,89,228,299,607,559,452,180,896,880,596,350,116,300,558,84,90,499,114,155,78,112,657,580,203,366,226,340,101,80,358,297,162,121,105,0,0,0,0,0,0
7,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000013_Left_SimpleSeg.tif,116,174,175,130,339,69,418,781,103,311,128,82,144,230,443,80,194,257,326,470,115,117,1235,94,687,123,96,74,76,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000013_Right_SimpleSeg.tif,163,88,541,73,872,90,371,321,101,53,251,78,76,304,369,228,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000018_Left_SimpleSeg.tif,57,84,188,94,89,82,123,60,427,489,268,181,55,414,287,138,163,169,88,111,300,698,1672,228,65,163,150,192,80,108,121,82,52,121,206,238,106,0,0,0,0,0,0,0
10,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000018_Right_SimpleSeg.tif,276,142,566,93,123,485,215,469,231,52,218,1049,58,114,52,202,166,765,690,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000039_Left_SimpleSeg.tif,444,1497,236,472,69,111,166,725,66,1120,439,469,886,452,270,428,315,1306,250,2399,1068,121,1051,196,62,257,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000039_Right_SimpleSeg.tif,1853,73,145,310,93,80,233,205,260,1335,779,331,591,684,67,96,190,433,304,287,54,1567,1098,211,3092,76,129,69,120,227,135,468,313,71,69,0,0,0,0,0,0,0,0,0
13,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000043_Left_SimpleSeg.tif,54,703,211,72,108,430,74,499,516,126,212,240,585,107,115,129,1315,132,268,428,271,90,70,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000043_Right_SimpleSeg.tif,404,126,128,482,109,50,297,190,612,224,103,699,67,793,54,561,1142,150,75,117,243,284,1437,730,103,129,66,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,C:\Users\Bertrand\Documents\BookChapterNeubias\FinalFolder-20200716T063229Z-001\FinalFolder\Output\PEV000044_Left_SimpleSeg.tif,377,88,634,415,158,449,67,130,54,396,54,132,379,194,153,181,116,659,105,316,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
