 ,Label,Area,Mean,X,Y
1,PEV000001_Left_SimpleSeg.tif,954,2,108.326,39.453
2,PEV000001_Left_SimpleSeg.tif,282,2,134.723,8.823
3,PEV000001_Left_SimpleSeg.tif,146,2,169.007,3.938
4,PEV000001_Left_SimpleSeg.tif,313,2,33.136,17.720
5,PEV000001_Left_SimpleSeg.tif,120,2,61.608,11.492
6,PEV000001_Left_SimpleSeg.tif,174,2,149.000,25.431
7,PEV000001_Left_SimpleSeg.tif,75,2,13.847,32.847
8,PEV000001_Left_SimpleSeg.tif,397,2,54.764,51.482
9,PEV000001_Left_SimpleSeg.tif,171,2,168.535,44.512
10,PEV000001_Left_SimpleSeg.tif,143,2,19.052,48.269
11,PEV000001_Left_SimpleSeg.tif,52,2,134.731,55.308
12,PEV000001_Left_SimpleSeg.tif,136,2,151.728,71.037
13,PEV000001_Left_SimpleSeg.tif,78,2,76.000,70.603
14,PEV000001_Left_SimpleSeg.tif,84,2,170.595,85.619
15,PEV000001_Left_SimpleSeg.tif,218,2,164.826,113.183
16,PEV000001_Left_SimpleSeg.tif,149,2,68.460,147.138
17,PEV000001_Left_SimpleSeg.tif,158,2,29.057,145.892
18,PEV000001_Left_SimpleSeg.tif,123,2,14.467,164.053
19,PEV000001_Left_SimpleSeg.tif,163,2,180.028,160.899
20,PEV000001_Left_SimpleSeg.tif,168,2,164.214,163.774
21,PEV000001_Left_SimpleSeg.tif,569,2,162.461,201.711
22,PEV000001_Left_SimpleSeg.tif,55,2,96.373,217.536
23,PEV000001_Left_SimpleSeg.tif,226,2,40.752,229.588
24,PEV000001_Left_SimpleSeg.tif,276,2,140.808,249.786
25,PEV000001_Left_SimpleSeg.tif,126,2,172.119,251.730
26,PEV000001_Left_SimpleSeg.tif,3104,2,161.962,347.236
27,PEV000001_Left_SimpleSeg.tif,531,2,74.922,279.515
28,PEV000001_Left_SimpleSeg.tif,59,2,103.483,339.178
29,PEV000001_Left_SimpleSeg.tif,157,2,64.041,346.806
30,PEV000001_Left_SimpleSeg.tif,442,2,22.362,358.851
31,PEV000001_Left_SimpleSeg.tif,507,2,97.950,369.859
32,PEV000001_Left_SimpleSeg.tif,447,2,114.182,403.670
33,PEV000001_Left_SimpleSeg.tif,277,2,176.471,406.005
34,Left:0001-0035,962,66.679,108.385,39.481
35,Left:0002-0009,286,66.916,134.689,8.773
36,Left:0003-0004,146,70.801,169.007,3.938
37,Left:0004-0017,318,67.072,33.101,17.739
38,Left:0005-0010,121,68.744,61.558,11.517
39,Left:0006-0025,176,69.812,149.000,25.489
40,Left:0007-0033,75,68.267,13.847,32.847
41,Left:0008-0049,411,67.173,54.714,51.446
42,Left:0009-0045,171,72.216,168.535,44.512
43,Left:0010-0047,143,67.517,19.052,48.269
44,Left:0011-0054,55,68.418,134.664,55.318
45,Left:0012-0070,139,70.511,151.680,70.946
46,Left:0013-0071,80,68.112,75.925,70.612
47,Left:0014-0086,85,72.788,170.618,85.606
48,Left:0015-0113,218,73.372,164.826,113.183
49,Left:0016-0146,162,68.605,68.451,147.154
50,Left:0017-0146,159,68.836,29.066,145.858
51,Left:0018-0161,123,69.919,14.467,164.053
52,Left:0019-0162,163,70.423,180.028,160.899
53,Left:0020-0164,180,69.778,164.183,163.656
54,Left:0021-0201,574,69.211,162.355,201.765
55,Left:0022-0218,56,65.464,96.321,217.518
56,Left:0023-0229,226,66.934,40.752,229.588
57,Left:0024-0250,276,68.493,140.808,249.786
58,Left:0025-0251,127,73.488,172.106,251.665
59,Left:0026-0334,3178,66.924,161.719,347.417
60,Left:0027-0278,539,63.369,75.025,279.496
61,Left:0028-0339,60,62.883,103.533,339.200
62,Left:0029-0348,157,63.809,64.041,346.806
63,Left:0030-0359,464,66.157,22.246,358.963
64,Left:0031-0369,509,61.138,97.930,369.856
65,Left:0032-0402,452,60.805,114.166,403.754
66,Left:0033-0406,279,64.082,176.478,406.063
